id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
118894,,,,GJ 3789,,,13.529586,29.27375,7.9365,-221.17,-154.87,0.0,11.95,12.452,M4  e,1.57,-6.375287,-2.698711,3.880812,-6e-06,6.7e-06,-5.2e-06,3.542037311879136,0.5109233256647,-1.0722624173e-06,-7.50806706e-07,,,CVn,1,118894,,0.0009103323996799,,,
118895,,,,GJ 3790,,,13.530721,23.388184,20.0,-276.55,43.8,0.0,12.26,10.755,m,,-16.902404,-7.160886,7.939172,-8.91e-06,2.535e-05,3.9e-06,3.542334439388321,0.408200813662,-1.3407522336e-06,2.1235324e-07,,,Com,1,118895,,0.0043451022417157,,,
118896,,,,GJ 9448B,,,13.532957,31.133052,20.7039,-137.24,27.67,0.0,11.3,9.72,,,-16.313813,-6.922797,10.70448,-4.06e-06,1.324e-05,2.38e-06,3.5429198010852403,0.5433742698820501,-6.653582952e-07,1.34157641e-07,,,CVn,2,65800,GJ 9448,0.011271974561755,,,
118897,,,,Gl 516B,,,13.545737,16.810196,13.7627,263.55,-198.6,-1.5,12.3,11.606,dM3.5e,,-12.110414,-5.187082,3.98018,4.75e-06,-1.709e-05,-1.313e-05,3.546265626322755,0.29339327448635,1.2777264551e-06,-9.62830273e-07,,,Com,2,65869,Gl 516,0.0019842664984846,,,
118898,,,,GJ 3791,,,13.573357,-26.371338,17.8571,-694.37,-355.32,0.0,14.0,12.741,m,,-14.660775,-6.404903,-7.931893,-1.156e-05,6.055e-05,-2.756e-05,3.553496590962316,-0.4602666842105,-3.3664007537e-06,-1.72266421e-06,,,Hya,1,118898,,0.0006975896043328,,,
118899,,,,GJ 3793,,,13.580288,20.193216,23.8095,49.61,-173.03,0.0,13.77,11.886,m,,-20.460732,-8.983495,8.218732,-4.01e-06,-8.01e-06,-1.874e-05,3.555311209803346,0.3524381070716499,2.405160669e-07,-8.38858567e-07,,,Com,1,118899,,0.0015332041990349,,,
118900,,,,GJ 1173,,,13.59025,-0.389409,20.8333,56.03,223.07,10.0,10.28,8.686,K7 V,1.44,-19.053763,-8.425069,-0.141595,-7.21e-06,-9.37e-06,2.246e-05,3.557919095055261,-0.00679646530615,2.716411052e-07,1.081473877e-06,,,Vir,1,118900,,0.0292146037387733,,,
118901,,,,GJ 9453B,,,13.582062,74.499263,32.2581,-438.76,-32.99,0.0,13.47,10.927,k,1.44,-7.893069,-3.467152,31.084777,-3.217e-05,6.081e-05,-1.38e-06,3.55577539157476,1.30025743299835,-2.1271685048e-06,-1.59940033e-07,,,UMi,2,66058,GJ 9453,0.0037085146587568,,,
118902,,,,Gl 518,,,13.609009,3.679643,8.1833,-3712.55,-1092.66,0.0,14.65,15.085,DZ9,0.95,-7.45256,-3.339161,0.525186,-6.289e-05,0.0001332,-4.326e-05,3.562830139485127,0.0642218784994999,-1.79989502975e-05,-5.29737001e-06,,,Vir,1,118902,,8.05378441199e-05,,,
118903,,,,GJ 3794,,,13.615406,22.966006,23.8095,92.11,-166.18,0.0,12.66,10.776,m,,-19.990852,-8.997335,9.290108,-2.46e-06,-1.277e-05,-1.766e-05,3.564505054094058,0.40083241655855,4.465618812e-07,-8.05648829e-07,,,Boo,1,118903,,0.0042618680542416,,,
